Word, Consonants
ammunition,
amoeba,
among,TALKING
amongst,TALKING GET
amoral,RAIL
amos,
amount,GET
amour,
amp,
ampere,
ampland,NOT_IN_CMU_DICT
ample,RAIL
amplifier,LOOK
amsterdam,
amuse,
amused,
amusement,GET
amuses,
amusing,TALKING
amy,
an,
ana,
anagram,RUN
anaheim,HOUSE
anal,RAIL
analog,LOOK
analogous,LOOK
analogue,LOOK
analogy,LOOK
analyses,LOOK
analysis,LOOK
analyst,LOOK GET
analytical,LOOK WATER RAIL
analyze,LOOK
analyzed,LOOK
anaphors,NOT_IN_CMU_DICT
anarchy,
anatomy,WATER
ancestor,
ancestors,
anchor,
ancient,GET
and,
andale,NOT_IN_CMU_DICT
anderson,
andorra,
andover,
andrea,RUN
andrew,RUN
andrews,RUN
android,RUN
andy,
anecdote,GET
anecdotes,
anemia,
angel,RAIL
angela,LOOK
angeles,LOOK
angelina,LOOK
anger,TALKING
angie,
angiers,NOT_IN_CMU_DICT
angiogram,RUN
angle,TALKING RAIL
anglepoise,NOT_IN_CMU_DICT
anglesey,NOT_IN_CMU_DICT
anglia,TALKING LOOK
anglo-saxon,NOT_IN_CMU_DICT
angola,TALKING LOOK
angora,TALKING
angry,TALKING RUN
anguilla,TALKING LOOK
anguish,TALKING
animal,RAIL
animated,WATER
animation,
anime,
aniseed,
anita,WATER
ann,
anna,
anne,
annette,GET
annex,
annie,
anniversary,
annotated,WATER
annotation,WATER
announce,
announced,GET
announcement,GET
annoy,
annoyance,
annoyed,
annoying,TALKING
annual,RAIL
annually,LOOK
annunziata,WATER
anomalies,LOOK
anomaly,LOOK
anon,
anonymous,
anonymously,LOOK
anorak,
anoraks,NOT_IN_CMU_DICT
another,THIS
answer,
answered,
ant,GET
antarctica,
anteater,WATER
antenna,
anteriority,NOT_IN_CMU_DICT
anther,NOT_IN_CMU_DICT
anthology,THINK LOOK
anthony,THINK
anthropology,THINK RUN LOOK
anthropomorphic,THINK RUN
anti,
anti-aircraft,NOT_IN_CMU_DICT
antibes,NOT_IN_CMU_DICT
antibodies,
antibody,
anticipate,GET
anticipated,WATER
anticipates,
anticipating,WATER TALKING
anticipation,
antidote,GET
antifa,NOT_IN_CMU_DICT
antigua,
antilles,LOOK
antinovel,NOT_IN_CMU_DICT
antique,
antiscorbutic,NOT_IN_CMU_DICT
antisocial,RAIL
antisocial,RAIL
antistrophe,NOT_IN_CMU_DICT
antivirus,
antonio,
anxiety,TALKING WATER
anxious,TALKING
any,
anybody,
anyhow,HOUSE
anymore,
anyone,
anyplace,LOOK
anything,THINK TALKING
anytime,WATER
anyway,
anywhere,HOUSE
aoife,NOT_IN_CMU_DICT
aol,RAIL LOOK
apache,
apart,GET
apartment,GET
apathetic,THINK WATER
apathy,THINK
apatow,NOT_IN_CMU_DICT
ape,
apeldoorn,NOT_IN_CMU_DICT
aperiodic,NOT_IN_CMU_DICT
aperiodicity,NOT_IN_CMU_DICT
apex,
aphid,
aphonia,NOT_IN_CMU_DICT
api,
apia,
apiece,
apnic,NOT_IN_CMU_DICT
apocrypha,NOT_IN_CMU_DICT
apogee,
apollo,LOOK
apologia,NOT_IN_CMU_DICT
apologize,LOOK
apologized,LOOK
apologizes,LOOK
apologizing,LOOK TALKING
apology,LOOK
apostrophe,RUN
app,
appall,RAIL
appalled,RAIL
appalling,LOOK TALKING
appallingly,LOOK TALKING
appalls,RAIL
appaloosa,NOT_IN_CMU_DICT
apparatus,WATER
apparatuses,WATER
apparel,RAIL
apparent,GET
apparently,LOOK
appeal,RAIL
appear,
appearance,
appeared,
appearing,TALKING
appears,
append,
appended,
appending,NOT_IN_CMU_DICT
appendix,
appends,NOT_IN_CMU_DICT
appetite,WATER GET
applause,LOOK
apple,RAIL
appliance,LOOK
applicable,LOOK RAIL
applicant,LOOK GET
application,LOOK
applied,LOOK
apply,LOOK
appoint,GET
appointed,
appointment,GET
appraisal,RUN RAIL
appreciate,RUN GET
appreciated,RUN WATER
appreciation,RUN
apprentice,RUN
approach,RUN
approaches,RUN
appropriate,RUN GET
appropriately,RUN LOOK
appropriations,RUN
approval,RUN RAIL
approve,RUN
approved,RUN
approx,NOT_IN_CMU_DICT
approximate,RUN GET
approximately,RUN LOOK
approximation,RUN
apps,
apraxia,NOT_IN_CMU_DICT
april,RUN RAIL
apron,RUN
apt,GET
aqaba,
aqua,
aqualung,LOOK TALKING
aquanaut,GET
aquarium,
aquatic,WATER
arab,
arabia,
arabian,
arabic,
araucania,NOT_IN_CMU_DICT
arbitrage,RUN
arbitrageur,RUN
arbitrament,NOT_IN_CMU_DICT
arbitrarily,RUN LOOK
arbitrary,RUN
arbitration,RUN
arbor,
arboreal,RAIL
arboretum,WATER
arbuthnot,THINK GET
arbutus,NOT_IN_CMU_DICT
arc,
arcade,
arcane,
arch,
archaic,
archangel,RAIL
archbishop,
archbishopric,NOT_IN_CMU_DICT
archduchess,NOT_IN_CMU_DICT
archenemy,
archer,
archery,
archibald,RAIL
archie,
architect,WATER GET
architectural,WATER RAIL
architecture,WATER
architrave,RUN
archival,RAIL
archive,
archived,
archway,
arctic,
arden,
area,
areas,
aren't,GET
arena,
aretha,THINK
argentina,
argentine,
argento,
argillaceous,NOT_IN_CMU_DICT
arginine,NOT_IN_CMU_DICT
argos,NOT_IN_CMU_DICT
arguable,RAIL
arguably,LOOK
argue,
argued,
argues,
argument,GET
argus,
ariel,RAIL
arise,
arisen,
arithmetic,THINK WATER
arizona,
arkansas,
arkell,NOT_IN_CMU_DICT
arlene,LOOK
arlette,LOOK GET
arlington,LOOK TALKING
arm,
armada,
armagh,NOT_IN_CMU_DICT
armando,
armchair,
armchairs,
armenia,
armor,
armrest,RUN GET
armstrong,RUN TALKING
army,
arnold,RAIL
arose,
around,
arpeggios,NOT_IN_CMU_DICT
arrange,
arranged,
array,
arrearage,
arrest,GET
